world_index,branch,T_window,n_paths,mean_d_hat,sd_d_hat,Pr_dhat_ge_1,Pr_dhat_ge_2,Pr_dhat_ge_3,Pr_dhat_ge_4,Pr_dhat_ge_5,Pr_dhat_ge_6
9,var_stationary_start,500,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
9,var_stationary_start,1000,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
9,var_stationary_start,1500,50,2.06,0.23989793748209529,1.0,1.0,0.06,0.0,0.0,0.0
9,var_stationary_start,3000,50,2.62,0.4903143514780146,1.0,1.0,0.62,0.0,0.0,0.0
9,var_zero_start,200,50,1.96,0.19794866372215747,1.0,0.96,0.0,0.0,0.0,0.0
9,var_zero_start,500,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
9,var_zero_start,1000,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
9,var_zero_start,1500,50,2.06,0.23989793748209529,1.0,1.0,0.06,0.0,0.0,0.0
9,var_zero_start,3000,50,2.62,0.4903143514780146,1.0,1.0,0.62,0.0,0.0,0.0
10,iid_marginal,200,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
10,iid_marginal,500,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
10,iid_marginal,1000,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
10,iid_marginal,1500,50,2.04,0.1979486637221575,1.0,1.0,0.04,0.0,0.0,0.0
10,iid_marginal,3000,50,2.92,0.3404678653660854,1.0,1.0,0.9,0.02,0.0,0.0
10,released_replay_validation,200,1,2.0,,1.0,1.0,0.0,0.0,0.0,0.0
10,released_replay_validation,500,1,2.0,,1.0,1.0,0.0,0.0,0.0,0.0
10,released_replay_validation,1000,1,2.0,,1.0,1.0,0.0,0.0,0.0,0.0
10,released_replay_validation,1500,1,2.0,,1.0,1.0,0.0,0.0,0.0,0.0
10,released_replay_validation,3000,1,3.0,,1.0,1.0,1.0,0.0,0.0,0.0
10,var_burnin_500,200,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
10,var_burnin_500,500,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
10,var_burnin_500,1000,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
10,var_burnin_500,1500,50,2.1,0.3030457633656634,1.0,1.0,0.1,0.0,0.0,0.0
10,var_burnin_500,3000,50,2.9,0.5050762722761053,1.0,1.0,0.82,0.08,0.0,0.0
10,var_stationary_start,200,50,1.98,0.14142135623730948,1.0,0.98,0.0,0.0,0.0,0.0
10,var_stationary_start,500,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
10,var_stationary_start,1000,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
10,var_stationary_start,1500,50,2.06,0.23989793748209529,1.0,1.0,0.06,0.0,0.0,0.0
10,var_stationary_start,3000,50,2.88,0.32826072265931605,1.0,1.0,0.88,0.0,0.0,0.0
10,var_zero_start,200,50,1.98,0.14142135623730948,1.0,0.98,0.0,0.0,0.0,0.0
10,var_zero_start,500,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
10,var_zero_start,1000,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
10,var_zero_start,1500,50,2.06,0.23989793748209529,1.0,1.0,0.06,0.0,0.0,0.0
10,var_zero_start,3000,50,2.88,0.32826072265931605,1.0,1.0,0.88,0.0,0.0,0.0
11,iid_marginal,200,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
